content,score,thumbsUpCount,reviewCreatedVersion,at,appVersion,id
Glory Fit has been wonderful to use but lately been having an issue with the watch faces not showing up in my dial center. I have a smartwatch and now purchased a Ruimen watch. Both watches work with the same app. I had done an update a few days back and the dail center was empty. I have uninstalled the app and installed with no luck. please fix issue otherwise I'm stuck with original face on Ruimen. Thank heaven I saved some faces on my smartwatch-other wise everything else works great.,4,0,3.6.9,2025-03-16 14:20:42,3.6.9,1
good,5,0,,2025-03-16 13:33:05,,2
More than likely chinese spyware,1,0,,2025-03-16 13:22:38,,3
can't get new free faces.,4,0,3.6.9,2025-03-16 11:34:51,3.6.9,4
I Wish I could reply to messages but I can't,3,0,3.6.9,2025-03-16 03:57:33,3.6.9,5
Good,5,0,3.6.9,2025-03-16 02:25:42,3.6.9,6
"Sweet little watch, can you add some sort of privacy so notifications from spontaneous texts aren't readable in meetings ?",4,0,3.6.9,2025-03-16 01:51:06,3.6.9,7
very poor. can't sync with phone. spent hrs on it. I suppose I could use it for just telling time.,1,0,3.6.9,2025-03-15 22:29:39,3.6.9,8
Doesn't set up with Samsung phone. Waste of time.,1,0,3.6.9,2025-03-15 21:59:06,3.6.9,9
Would not send text to watch,3,0,3.6.9,2025-03-15 21:15:05,3.6.9,10
"Has a lot of features but one, pretty big thing, that is bugging me. This app does not show all my contacts to allow me to import. I can get some contacts, but within the A section, it is not showing my wife. Thinking about returning it unless they can fix it to let me select up to 100 from ALL my contacts.",3,1,3.6.9,2025-03-15 17:27:26,3.6.9,11
After using Glory Fit for 3 months the app updates itself and you become proficient everything is fine give it a try you will not be sorry,5,0,3.6.9,2025-03-15 15:09:42,3.6.9,12
I spent the hour trying to get this watch paired with Glory fit.,1,0,3.6.9,2025-03-15 14:55:30,3.6.9,13
Ver good app,5,0,3.6.9,2025-03-15 14:36:58,3.6.9,14
Great app but some of the time it will glitch and say I got 2000 hours of sleep and I also hope they add a RCS text mode because I don't use SMS messages,4,0,3.6.9,2025-03-15 14:20:58,3.6.9,15
Good as far as it goes. The watch could be more a curate in bpms and step recording,4,0,3.6.9,2025-03-15 13:53:18,3.6.9,16
this app has all permissions watch will not update,1,0,3.6.9,2025-03-15 13:15:55,3.6.9,17
❤️❤️❤️❤️❤️,4,0,,2025-03-15 11:33:10,,18
good,5,0,3.6.9,2025-03-15 08:51:47,3.6.9,19
Please update in Bangla Front. Bangla not supported in this apps.,5,0,3.6.9,2025-03-15 07:01:42,3.6.9,20
Cute,5,0,3.6.9,2025-03-15 06:09:00,3.6.9,21
Still trying to set up.,5,0,3.6.9,2025-03-15 01:54:23,3.6.9,22
Nice,5,0,3.6.9,2025-03-15 01:07:42,3.6.9,23
Can't get my SMS and calls to show up on the watch,2,0,,2025-03-14 22:47:12,,24
Excellent,5,0,3.6.9,2025-03-14 20:59:09,3.6.9,25
I have not been able to get any of my regular text messages...at all! I can get messages on whatsapp perfectly fine I can get messages from things I've subscribed to on my regular messaging But incant get any from friends and family I have done everything but I can't get it on!!!,2,0,3.6.9,2025-03-14 20:46:53,3.6.9,26
Ok,5,0,,2025-03-14 20:20:53,,27
Most of the time the sleep part of the app won't register my sleep. It was at first 😃 now it's not. I've reset the app. My phone. Checked my connection....Every thing else works n registers.,4,0,3.6.9,2025-03-14 19:41:52,3.6.9,28
"This is ridiculous. I've added all permissions, completed all steps, and I still can't use the app. I don't know what else to do. I've been at it for over an hour.",1,0,3.6.9,2025-03-14 17:22:18,3.6.9,29
Good,5,0,3.6.9,2025-03-14 16:20:57,3.6.9,30
awesome watch lots of features healt wise and works like a phone,5,0,3.6.9,2025-03-14 15:21:19,3.6.9,31
"Have an Android, Samsung S24+. Unable to receive message notifications. Only option is FB messenger, which I do not have. Watch faces are limited and not very good. Sleep data is not very accurate. Other than these things, it's just ok.",3,0,3.6.9,2025-03-14 15:18:22,3.6.9,32
just getting started,4,0,3.6.9,2025-03-14 10:19:27,3.6.9,33
Sleep doesn't work,3,0,,2025-03-14 08:30:42,,34
"It's is a good watch. However, since my phone switched text messaging over to RCS messages I am unable to get text notifications on my watch. Hopefully they will make the watch RCS compatible soon.",3,0,3.6.9,2025-03-14 02:27:26,3.6.9,35
Best watch ever,5,0,3.6.9,2025-03-13 22:00:16,3.6.9,36
It'll be nice if there was a way to put a ringtone on your watch to use,3,0,3.6.9,2025-03-13 20:47:57,3.6.9,37
"I can only get 2 of my contacts to show up for some reason. It would also be awesome if there was a calendar to put appointments on and be notified an hour in advance like some other smart watches provide. It would also be super beneficial to have glucose log book added in as well. Also the apps it allows you to give permission for like Facebook, etc don't actually show up either.",1,0,3.6.9,2025-03-13 17:26:55,3.6.9,38
Not pairing...,1,0,3.6.9,2025-03-13 17:20:55,3.6.9,39
"Weather app location not accurate, steps not accurate",3,0,3.6.9,2025-03-13 16:41:01,3.6.9,40
works great love it,5,0,3.6.9,2025-03-13 16:38:22,3.6.9,41
This is very nice and useful app,5,0,3.6.9,2025-03-13 12:44:07,3.6.9,42
"The weather don't sync anymore, I've tried different ways, but still don't work any more, we don't have the possibility to use it with others app in the phone",3,0,3.6.9,2025-03-13 08:23:26,3.6.9,43
I really like this watch in till it stop working on the massages. I don't get any massages. I feel it vibrating but it says o massages.,1,0,3.6.9,2025-03-13 00:42:16,3.6.9,44
"I had a nord 1 android and it worked great, now I have a Samsung A14 and I can't figure out how to.sync it? Help Ok never mind I figure it out! Love this watch!",5,0,3.6.9,2025-03-12 20:45:55,3.6.9,45
Confused,3,0,3.6.9,2025-03-12 17:31:01,3.6.9,46
"A bit hard to set up to be honest, especially if you're an old person like me, but once you've set it up, the watch is really, really good, and the battery last just over a week. I'm really impressed.",5,0,3.6.9,2025-03-12 17:25:52,3.6.9,47
It is great ok for me,5,0,3.6.9,2025-03-12 12:36:25,3.6.9,48
"The app needs some work. Changing faces on the watch needs to be categorised, also the edit screen for the face needs more options other than just change the picture. Changing widgets would be good.",3,0,3.6.9,2025-03-12 09:03:34,3.6.9,49
Excellent,5,0,3.6.9,2025-03-12 08:04:02,3.6.9,50
Too hard to connect. No help phone number. Instructions do not help.,1,0,3.6.9,2025-03-12 05:41:24,3.6.9,51
It would not stay connected with my phone unless it was charging.,1,0,3.6.9,2025-03-12 05:34:16,3.6.9,52
I love this watch but after a few months my phone disconnects and I can't get it to reconnect so I buy a new one. NOT HAPPY🤬🤬🤬,2,0,3.6.9,2025-03-12 02:32:47,3.6.9,53
Time zone,4,0,3.6.9,2025-03-12 00:27:12,3.6.9,54
I can't connect my watch to my phone using this app.,1,0,3.6.9,2025-03-11 18:28:11,3.6.9,55
"Absolutely awful experience so far. The watch is pretty but other than that it's almost completely useless. Anytime I turn off my Bluetooth I have to reinstall the app for it to sync with my phone again, the other option would be to reset the watch every time which defaults to a different language when reset. As far as a affordable watch goes, it's pretty and tells time well, but if you need something that will actually sync with your phone and be usable in all other ways, this is not the watch.",1,0,,2025-03-11 18:24:30,,56
My watch constantly disconnect from the app and it is extremely difficult to get it to reconnect,1,0,3.6.9,2025-03-11 17:55:38,3.6.9,57
It's just a great watch all around. Had trouble when I first got it being in Spanish. Had to look up how to change language. But my son absolutely loves it. Amazing product 👍🏻,5,0,,2025-03-11 15:46:50,,58
"Please fix this bug, sering ga bisa nyambung notifikasi, terutama whatsapp nya..",1,0,,2025-03-11 14:45:06,,59
Stopped working.,1,0,3.6.9,2025-03-11 14:43:32,3.6.9,60
not the best,2,0,3.6.9,2025-03-11 10:29:05,3.6.9,61
I can't search my sleep data at my smartwatch even though I wear my smartwatch during I sleep.,2,0,3.6.9,2025-03-11 04:47:28,3.6.9,62
don't work,1,0,,2025-03-11 03:02:56,,63
I am having problem to install on my phone 📱,1,0,,2025-03-11 02:21:00,,64
This app sucks the battery dry in 24 hours.,2,1,3.6.9,2025-03-11 01:33:56,3.6.9,65
To whom it may concern my watch stop working.I put it on charge and it still not working.,5,0,3.6.9,2025-03-11 00:57:15,3.6.9,66
"I had a terrible time trying to change to daylight savings time. During that experience, I mistakingly changed my face choice.",3,0,3.6.9,2025-03-10 23:05:06,3.6.9,67
It's good but the camera permission won't let me access,3,0,3.6.9,2025-03-10 22:03:24,3.6.9,68
Easy to use,5,0,3.6.9,2025-03-10 20:35:24,3.6.9,69
Time won't change to daylight savings,3,0,3.6.9,2025-03-10 18:07:36,3.6.9,70
Won't install on my Samsung phone,1,0,3.6.9,2025-03-10 17:18:52,3.6.9,71
Great job love it,5,0,3.6.9,2025-03-10 16:14:54,3.6.9,72
Nice,5,0,3.5.5,2025-03-10 15:57:53,3.5.5,73
"It's ok but don't receive text alerts with Motorola, calls only",4,0,3.6.9,2025-03-10 15:18:36,3.6.9,74
Excellent,5,0,3.6.9,2025-03-10 14:39:01,3.6.9,75
Bout the only thing I can get to work is the time won't read steps or bpm unless I take off and hold it on my finger guess that's what I get for the price won't be buying another,1,0,3.6.9,2025-03-10 14:09:30,3.6.9,76
"Has become increasingly more flaky. Moved to Android 14. I have to reboot my phone for the BT to stay connected. Where as my Mercedes and headphones have no issues. Support told me to disconnect, reboot both..and see. Well it lasted a day. For goodness sake take on board there is an issue",3,0,,2025-03-10 08:41:26,,77
Great SmartWatch app..!!!,5,0,,2025-03-10 08:31:19,,78
Update: watch now syncing with phone. Only update needed is a better sleep breakdown! Fatal update! My great watch can no longer sync with my phone. Please put it back to the previous version. Watch useless with current app so will have to buy a new smart watch!,4,1,3.6.9,2025-03-10 08:19:17,3.6.9,79
"It's not linking up to the watch,wth?",1,0,3.6.9,2025-03-10 05:33:35,3.6.9,80
Not too user friendly.,3,0,3.6.9,2025-03-10 05:14:42,3.6.9,81
It's an amazing App to use,5,0,3.6.9,2025-03-10 05:10:27,3.6.9,82
Good,5,0,3.6.9,2025-03-10 04:26:57,3.6.9,83
Although I like the way it keeps track of the stats and it gives me reports on my phone. It totally sucks that the only watch faces they offer are all Christmas designs. I mean come on guys get with the program. Don't tell me about reaching your website fix it in your app. Update your app to give us new watch faces The claim that watch faces were updated regularly is not truth. Why would I want to walk around with Christmas displays on my watch everyday in March?,2,0,3.6.9,2025-03-10 02:39:23,3.6.9,84
Sign up but then doesn't work. No support,2,1,,2025-03-10 02:24:27,,85
Not always easy,4,0,3.6.9,2025-03-10 01:38:42,3.6.9,86
"With the time change, my watch did not update. How can I go ahead an hour?",2,0,3.6.9,2025-03-10 01:30:51,3.6.9,87
Great helps with everything,5,0,3.6.9,2025-03-10 00:42:13,3.6.9,88
Never has worked with my dumb watch,1,0,3.6.9,2025-03-10 00:24:36,3.6.9,89
"I like the sleep tracker, oxygen level monitor and heart rate monitor. The blood pressure is wildly inaccurate. I have to occasionally reload the app to restore communication between my phone and watch.",3,0,3.6.9,2025-03-09 22:52:24,3.6.9,90
"It's okay, but it takes a while to sync after charging. The blood oxygen is off by +/- 3%. My SATS drop to 86% when I'm walking and the watch will read 96%.🤔",3,0,3.6.9,2025-03-09 22:42:24,3.6.9,91
crashes my phone....,1,0,3.6.9,2025-03-09 21:57:37,3.6.9,92
Good,2,0,3.6.9,2025-03-09 19:26:12,3.6.9,93
"I installed the update. It wants me to resign up. I can't get past the ""gender"" option now. Utterly useless now except for it did update My watch to EDT. Otherwise forget it!!!!!!",1,0,3.6.9,2025-03-09 18:13:08,3.6.9,94
Will not change time,1,0,3.6.9,2025-03-09 17:48:57,3.6.9,95
Too hard to connect to my watch,1,0,3.6.9,2025-03-09 16:13:47,3.6.9,96
Bluetooth does not work,1,0,3.6.9,2025-03-09 14:52:31,3.6.9,97
it connects well,5,0,,2025-03-09 14:21:13,,98
Dst is not easily accessible,1,0,3.6.9,2025-03-09 14:05:32,3.6.9,99
How do I switch time on my watch?,5,0,3.6.9,2025-03-09 13:29:21,3.6.9,100
It has a lot of options,3,0,3.6.9,2025-03-09 11:09:37,3.6.9,101
Did not update time change,2,0,3.6.9,2025-03-09 10:58:21,3.6.9,102
"This has been excellent for me with how accurate the steps tracking, sleep tracking and everything is, and I love the extra details in all the data. But there is one slight issue I have had. I can't figure out why, but it can't find my contacts.",4,83,3.6.9,2025-03-09 05:15:35,3.6.9,103
phone only rings once,1,0,3.6.9,2025-03-09 04:03:25,3.6.9,104
Not greatc,1,0,3.6.9,2025-03-09 03:44:33,3.6.9,105
"The only complaint is the majority if the available watch faces look like they are for children or teenagers. I have a few I can change to, but it is overwhelming for children.",5,0,,2025-03-09 01:07:00,,106
Don't use This app... why? This app was pre-installed in my mobile and I used it for two months. But I have deleted it. As the steps counts which this show you and counts is incorrect. For instance you will take one step it will show you 3 steps. So ultimately the results it gives is incorrect.,1,0,3.6.9,2025-03-08 23:02:26,3.6.9,107
